year,source_file,page_number,program_name,department,description,amount_gbp,unit,is_annual
2016,2016_UK.pdf,81,Vehicle emissions R&D (Midlands),BIS/Innovate UK,The Midlands will also receive over £15 million funding to support R&D into lowering vehicle emissions.,15000000,total,False
2016,2016_UK.pdf,78,National Institute for Smart Data Innovation (Newcastle),BIS,"The government will invest £15 million in the National Institute for Smart Data Innovation in Newcastle, subject to approval of a satisfactory business case.",15000000,total,False
2016,2016_UK.pdf,78,Nuclear Manufacturing Programme (SMR competition),DECC/BIS,"government will allocate at least £30 million for a 21st century nuclear manufacturing programme, as part of the SMR competition.",30000000,total,False
2016,2016_UK.pdf,82,Compound Semiconductor Catapult (Wales),BIS/Welsh Government,£50m will also be invested up to 2020-21 to create a new Compound Semiconductor Catapult in Wales.,50000000,total to 2020-21,False
2017,2017_03_UK.pdf,47,National Productivity Investment Fund - R&D component (NPIF AS2016),BIS/BEIS,"Autumn Statement 2016 announced £4.7 billion from the NPIF for R&D, to support the UK's world-leading research and ensure the UK remains at the forefront of new technologies.",4700000000,total over NPIF period (2017-22),False
2017,2017_03_UK.pdf,47,Industrial Strategy Challenge Fund (ISCF) - initial,BEIS/Innovate UK,An initial investment of £270 million in 2017-18 will kick-start the development of disruptive technologies [via ISCF].,270000000,annual (2017-18),True
2017,2017_03_UK.pdf,47,NPIF Talent funding - PhD places + fellowships,BEIS/RCUK,The NPIF will invest £250 million over the next four years to continue to build the pipeline of high-skilled research talent through PhD places and fellowships.,250000000,total over 4 years,False
2017,2017_11_UK.pdf,48,NPIF R&D spending - extended (total through 2021-22),BEIS,the Budget confirms that the £4.7 billion NPIF investment in science and innovation announced at Autumn Statement 2016 will deliver £12.5 billion in direct R&D spending by government and industry by 2021-22.,12500000000,"annual (2021-22 target, direct R&D spending)",True
2017,2017_11_UK.pdf,48,Additional NPIF R&D investment in 2021-22,BEIS,a further £2.3 billion of additional spending in 2021-22 [R&D from NPIF].,2300000000,annual (2021-22),True
2017,2017_11_UK.pdf,46,NPIF R&D - total (Table 4.1 NPIF R&D line),BEIS,"NPIF Research and Development funding: 2017-18: £425m, 2018-19: £820m, 2019-20: £1,500m, 2020-21: £2,000m, 2021-22: £2,345m. Total £7.09bn.",7090000000,total over NPIF period 2017-22,False
2017,2017_11_UK.pdf,48,ISCF - construction sector productivity,BEIS/Innovate UK,£170 million for innovation to transform productivity in the construction sector [from ISCF].,170000000,total,False
2018,2018_UK.pdf,59,NPIF R&D - extended to 2023-24 (Table 4.1),BEIS,"NPIF R&D funding: 2017-18: £425m, 2018-19: £820m, 2019-20: £1,520m, 2020-21: £2,000m, 2021-22: £2,325m (Table 4.1 2018 Budget). Total NPIF R&D: £7.09bn.",7090000000,total over NPIF period 2017-22,False
2018,2018_UK.pdf,60,Additional R&D funding (Budget 2018),BEIS,"the Budget allocates £1.6 billion to strengthen the UK's global leadership in science and innovation. Since 2016, the government has committed to spend an additional £7 billion on R&D.",1600000000,total additional (Budget 2018),False
2018,2018_UK.pdf,60,Industrial Strategy Challenge Fund increase,BEIS/Innovate UK,the government will increase the Industrial Strategy Challenge Fund by £1.1 billion.,1100000000,total increase,False
2018,2018_UK.pdf,60,Made Smarter - ISCF,BEIS/Innovate UK,Up to £121 million for Made Smarter to support the transformation of manufacturing through digitally-enabled technologies.,121000000,total,False
2018,2018_UK.pdf,60,Quantum Technology Programme (National Quantum Technology Programme phase 2),BEIS/EPSRC,"invest a further £235 million to support quantum technologies, including up to £70 million from ISCF, and £35 million for quantum computing demonstrator. Total quantum investment phase 2: £315 million.",315000000,total (phase 2),False
2018,2018_UK.pdf,60,Nuclear fusion (UKAEA acceleration),BEIS/UKAEA,an additional £20 million in 2019-20 for the UK Atomic Energy Agency to accelerate its work on the development and commercialisation of fusion energy.,20000000,annual (2019-20),True
2018,2018_UK.pdf,60,Turing AI Fellowships + international fellowships,BEIS/UKRI,"invest up to £50 million in new Turing AI Fellowships to bring the best global researchers in AI to the UK, and £100 million for international research fellowships. Total: £150 million.",150000000,total,False
2018,2018_UK.pdf,60,Catapults (Digital Catapult + Medicines Discovery Catapult),BEIS/Innovate UK,confirming £115 million to extend funding for the Digital Catapult and the Medicines Discovery Catapult.,115000000,total,False
2018,2018_UK.pdf,68,Strength in Places Fund,BEIS/UKRI,£120 million for the Strength in Places Fund to support areas of R&D excellence across the UK.,120000000,total,False
2020,2020_UK.pdf,10,Total public R&D investment target (2024-25),BEIS/HMT,the Budget sets out plans to increase public R&D investment to £22 billion per year by 2024-25. This landmark investment will put the UK on track to reach the government's target of 2.4% of GDP invested in R&D by 2027.,22000000000,annual target (2024-25),True
2020,2020_UK.pdf,62,Immediate funding boost for world-leading research (2020-21),BEIS/UKRI,"The government is providing an immediate funding boost of up to £400 million in 2020-21 for world-leading research, infrastructure and R&D talent.",400000000,annual (2020-21),True
2020,2020_UK.pdf,63,ARPA-style high-risk research funding agency (ARIA precursor),BEIS,"the government will invest at least £800 million in a new blue-skies funding agency here in the UK, modelled on the extraordinary work of DARPA in the United States.",800000000,total commitment,False
2020,2020_UK.pdf,63,Specialist research institutions funding uplift,BEIS/UKRI,increase funding for the UK's foremost specialist institutions by £80 million over the next five years.,80000000,total over 5 years,False
2020,2020_UK.pdf,63,NIHR additional funding (2020-21),DHSC,the government is committing an extra £12 million for the National Institute for Health Research in 2020-21.,12000000,annual (2020-21),True
2020,2020_UK.pdf,63,Natural History Museum state-of-the-art facility,BEIS/DCMS,the Budget provides £180 million over 6 years for a new state-of-the-art storage and research facility for the Natural History Museum.,180000000,total over 6 years,False
2020,2020_UK.pdf,64,Life Sciences Investment Programme (British Business Bank),BEIS/BBB,The Life Sciences Investment Programme will provide the British Business Bank with additional resources to make up to £200 million of equity investments in life sciences.,200000000,total equity commitment (BBB),False
2020,2020_UK.pdf,64,"High-potential technologies (nuclear fusion, space, EVs)",BEIS,"invest over £900 million to ensure UK businesses are leading the way in high-potential technologies including nuclear fusion, space and electric vehicles.",900000000,total,False
2021,2021_03_UK.pdf,70,Energy innovation - floating offshore wind,BEIS,launch of a £20 million programme to support the development of floating offshore wind technology across the UK.,20000000,total,False
2021,2021_03_UK.pdf,70,Energy storage prototypes/demonstrators competition,BEIS,a new £68 million UK-wide competition to implement several first-of-a-kind energy storage prototypes or technology demonstrators.,68000000,total,False
2021,2021_10_UK.pdf,58,Total public R&D investment (SR21 commitment),BEIS/DSIT,"the government is increasing public R&D investment to record levels, providing £20 billion across the UK by 2024-25, including £6.3 billion to UKRI.",20000000000,annual (2024-25 target),True
2021,2021_10_UK.pdf,59,UKRI core research increase (SR21),BEIS/UKRI,fund an increase to core funding for the UK's world-leading universities and research institutions of £1.1 billion per year more than in 2021-22 by 2024-25.,1100000000,annual increase by 2024-25,True
2021,2021_10_UK.pdf,59,ARIA (Advanced Research and Invention Agency),BEIS/ARIA,establish the new Advanced Research and Invention Agency (ARIA) with £800 million allocated by 2025-26 (including £50 million in 2021-22).,800000000,total to 2025-26,False
2021,2021_10_UK.pdf,59,"Capital DEL R&D (total government, Table 2.2)",BEIS/All,"Table 2.2: Total Capital DEL expenditure on R&D: 2021-22: £14.8bn, 2022-23: £16.1bn, 2023-24: £19.4bn, 2024-25: £20.0bn.",20000000000,annual (2024-25),True
2021,2021_10_UK.pdf,59,"BEIS total R&D (Capital DEL, 2024-25, Table 2.2)",BEIS,"BEIS Capital DEL R&D: 2024-25: £14.2bn (of which Core Research £5.9bn, Innovate UK £1.1bn, EU Programmes £2.1bn).",14200000000,annual (2024-25),True
2021,2021_10_UK.pdf,59,Core Research budget (UKRI) SR21 plan (Table 2.2),BEIS/UKRI,"Core Research (BEIS Capital DEL): 2021-22: £4.8bn, 2022-23: £5.2bn, 2023-24: £5.8bn, 2024-25: £5.9bn.",5900000000,annual (2024-25),True
2021,2021_10_UK.pdf,59,"Innovate UK budget (SR21 plan, Table 2.2)",BEIS/Innovate UK,"Innovate UK (BEIS Capital DEL): 2021-22: £0.7bn, 2022-23: £0.7bn, 2023-24: £0.8bn, 2024-25: £1.1bn.",1100000000,annual (2024-25),True
2021,2021_10_UK.pdf,60,Innovate UK - total core funding (SR21 period),BEIS/Innovate UK,"providing at least £2.5 billion for Innovate UK core funding, a 36% increase across the SR21 period.",2500000000,total over SR21 period,False
2021,2021_10_UK.pdf,60,Future Fund: Breakthrough,BEIS/BBB,"the government launched the £375 million Future Fund: Breakthrough, to increase the supply of growth-stage venture capital for UK's most innovative companies.",375000000,total fund,False
2023,2023_UK.pdf,72,Exascale supercomputer + AI Research Resource,DSIT,"the government will invest, in the region of £900 million to build an exascale supercomputer and to establish a new AI Research Resource.",900000000,total,False
2023,2023_UK.pdf,73,Quantum Technologies Strategy - 10 year investment,DSIT,The government will invest a total of £2.5 billion over 10 years [in quantum technologies].,2500000000,total over 10 years,False
2023,2023_UK.pdf,73,Innovation Accelerators (26 R&D projects),DSIT,The government has allocated £100 million funding for the Innovation Accelerators programme to 26 transformative R&D projects.,100000000,total,False
2023,2023_UK.pdf,68,RDEC rate increase (large company R&D credit) - Autumn Statement 2022,HMRC,"the rate of the Research & Development Expenditure Credit (RDEC) would be increased from 13% to 20%, effective 1 April 2023 (qualitative/rate only).",,tax credit rate (20% from 1 April 2023),True
2023,2023_UK.pdf,68,R&D intensive SME enhanced relief,HMRC,the government will introduce an increased rate of relief for loss-making R&D intensive SMEs. Eligible companies will receive £27 per £100 of R&D (qualitative/rate only).,,tax relief (£27 per £100 of R&D),True
2023,2023_UK.pdf,70,British Patient Capital programme extension,BEIS/BBB,"Increasing support for the UK's most innovative companies by extending the British Patient Capital programme for a further 10 years to 2033-34, with £3 billion of total investment.",3000000000,total over 10 years (to 2033-34),False
2024,2024_03_UK.pdf,59,R&D package (Autumn Statement 2023 follow-up),DSIT,"the government is providing record levels of investment in research and development (R&D), including a £750 million package at Autumn Statement 2023.",750000000,total package (AS 2023),False
2024,2024_03_UK.pdf,59,"R&D strategic support (satellite comms, quantum, infrastructure)",DSIT,"£14 million to boost the UK's public sector research and innovation infrastructure, up to £100 million support for future satellite communications, and £1.6 million for quantum sensors. Combined: £115.6 million.",115600000,total (combined),False
2024,2024_03_UK.pdf,59,R&D tax reliefs reform (simplified merged scheme),HMRC,"reforms worth £280 million a year to simplify and improve R&D tax reliefs, helping to drive innovation in the UK.",280000000,annual (tax relief cost/saving),True
2024,2024_03_UK.pdf,64,Proof-of-concept fund for university spin-outs,DSIT,new £20 million proof-of-concept fund to support universities and future founders to de-risk technology.,20000000,total,False
2024,2024_03_UK.pdf,65,Alan Turing Institute investment,DSIT,the government is announcing that it will invest up to £100 million in the [Alan Turing] Institute over the next five years.,100000000,total over 5 years,False
2024,2024_03_UK.pdf,65,Life sciences manufacturing funding (AS 2023),DHSC/DSIT,"At Autumn Statement 2023, the government announced £520 million of new funding for life sciences manufacturing to build vaccine and medicine production capacity.",520000000,total (AS 2023 announcement),False
2024,2024_03_UK.pdf,65,Medical charity life sciences research (Cancer Research UK etc),DHSC,£45 million of additional funding to bolster medical charities' life-saving research agendas.,45000000,total,False
2024,2024_10_UK.pdf,81,Total government R&D investment (2025-26),DSIT/All,the Budget protects record levels of government R&D investment with £20.4 billion allocated in 2025-26. This includes at least £6.1 billion for core research.,20400000000,annual (2025-26),True
2024,2024_10_UK.pdf,81,Core research (UKRI + Research England + National Academies),DSIT/UKRI,at least £6.1 billion of support for core research [within £20.4bn R&D total].,6100000000,annual (2025-26),True
2024,2024_10_UK.pdf,81,R&D Missions Programme,DSIT,At least £25 million in 2025-26 to launch a new multi-year R&D Missions Programme.,25000000,annual (2025-26),True
2024,2024_10_UK.pdf,81,"NIHR uplift (life sciences R&D, part of £2bn+)",DHSC,A real terms uplift to the budget of the National Institute for Health and Care Research (NIHR) as part of over £2 billion for life sciences R&D in 2025-26.,2000000000,"annual (2025-26, total life sciences R&D including NIHR)",True
2024,2024_10_UK.pdf,82,University spin-out proof-of-concept fund,DSIT,providing at least £40 million over 5 years for proof-of-concept funding and improvements to support for researchers spinning out from universities.,40000000,total over 5 years,False
2024,2024_10_UK.pdf,107,DSIT Total DEL (2025-26),DSIT,"Table 4.14: DSIT Total DEL 2025-26: £15.1bn (Resource DEL £0.4bn, Capital DEL £14.7bn). Annual average real terms growth rate 6.5% from 2023-24 to 2025-26.",15100000000,"annual (2025-26, total DEL)",True
2024,2024_10_UK.pdf,107,DSIT Capital DEL (2025-26),DSIT,Table 4.14: DSIT Capital DEL 2025-26: £14.7bn (up from £12.4bn outturn 2023-24 and £13.3bn baseline 2024-25).,14700000000,annual (2025-26),True
2024,2024_10_UK.pdf,107,"DSIT R&D investment (2025-26, core research)",DSIT,£13.9 billion for DSIT to invest in R&D in 2025-26. This includes at least £6.1 billion of support for core research.,13900000000,"annual (2025-26, DSIT R&D)",True
2024,2024_10_UK.pdf,107,Horizon Europe association + guarantee scheme (2025-26),DSIT,£2.7 billion for association to EU research programmes and partnerships and the costs of the Horizon Europe guarantee scheme in 2025-26.,2700000000,annual (2025-26),True
2024,2024_10_UK.pdf,107,Made Smarter Innovation programme (2025-26),DSIT/UKRI,Up to £37 million in 2025-26 for the Made Smarter Innovation programme.,37000000,annual (2025-26),True
2024,2024_10_UK.pdf,108,Life Sciences Innovative Manufacturing Fund (2025-26),DHSC/DSIT,"the government will provide £70 million in 2025-26 for the new Life Sciences Innovative Manufacturing Fund, as part of a wider package of life sciences support.",70000000,annual (2025-26),True
2024,2024_10_UK.pdf,108,Project Gigabit + Shared Rural Network,DSIT,Invest over £500 million in Project Gigabit and the Shared Rural Network.,500000000,total,False
2025,2025_UK.pdf,79,Annual government R&D investment target (2029-30),DSIT/HMT,annual government investment in R&D will grow to £22.6 billion by 2029-30.,22600000000,annual target (2029-30),True
2025,2025_UK.pdf,79,UKRI investment in IS-8 sectors (4 years),DSIT/UKRI,"UK Research and Innovation (UKRI) directing £9 billion over four years to IS-8 sectors, including £4.5 billion for innovation and commercialisation.",9000000000,total over 4 years,False
2025,2025_UK.pdf,79,Innovate UK Growth Catalyst programme,DSIT/Innovate UK,"Innovate UK will launch a new Growth Catalyst programme worth £130 million, offering grants and tailored support to frontier firms.",130000000,total,False
2025,2025_UK.pdf,79,UKRI R&D Missions Accelerator,DSIT/UKRI,UKRI's £500 million R&D Missions Accelerator programme will launch challenges to drive economic benefit from the UK's cutting-edge research base.,500000000,total,False
2025,2025_UK.pdf,80,UKRI quality-related block grant + HEIF (SR period protection),DSIT/UKRI/Research England,"UKRI's investment in core quality-related block grant and Higher Education Innovation Funding will be protected in real terms, with a cumulative real-terms increase of £425 million over the SR period.",425000000,cumulative real-terms increase over SR,False
2025,2025_UK.pdf,80,AI for Science Strategy investment,DSIT,"the government has launched an ambitious AI for Science Strategy, backed by £137 million of investment over the next four years.",137000000,total over 4 years,False
2025,2025_UK.pdf,82,AI compute/supercomputer investment (to 2030),DSIT,"the government is investing up to £2 billion between now and 2030 to build a modern public compute ecosystem, including a new supercomputer.",2000000000,total to 2030,False
2025,2025_UK.pdf,79,Engineering skills package,DSIT/DfE,ambitious targeted packages in engineering worth £182 million across four years.,182000000,total over 4 years,False
2025,2025_UK.pdf,79,Techfirst digital skills package,DSIT/DfE,£187 million for our Techfirst digital skills package.,187000000,total,False
